device_id, CreateTime, RecvTime, Data
1, , None, 4735
1, , None, 11800
1, , None, 18867
1, , None, 25934
1, , None, 33001
1, , None, 40069
1, , None, 47135
1, , None, 54202
1, , None, 61269
1, , None, 68339
1, , None, 75406
1, , None, 82473
1, , None, 89540
1, 2019-10-15 21:47:45.107000, None, 96607
1, 2019-10-15 21:47:52.162000, None, 103705
1, 2019-10-15 21:47:59.248000, None, 110772
1, 2019-10-15 21:48:06.300000, None, 117865
1, 2019-10-16 09:53:30.033000, None, 702
1, 2019-10-16 09:53:37.093000, None, 7769
1, 2019-10-16 09:53:44.160000, None, 14835
1, 2019-10-16 09:53:51.225000, None, 21907
1, 2019-10-16 09:53:58.287000, None, 28974
1, 2019-10-16 09:54:05.369000, None, 36041
1, 2019-10-16 09:54:12.428000, None, 43128
1, 2019-10-16 09:54:19.489000, None, 50195
1, 2019-10-16 09:54:26.544000, None, 57262
1, 2019-10-16 09:54:33.601000, None, 64329
1, 2019-10-16 09:54:40.658000, None, 71396
1, 2019-10-16 09:54:47.715000, None, 78463
1, 2019-10-16 09:54:54.773000, None, 85531
1, 2019-10-16 09:55:01.831000, None, 92598
1, 2019-10-16 09:55:09.888000, None, 100669
1, 2019-10-16 09:55:16.940000, None, 107739
1, 2019-10-16 09:55:24.001000, None, 114806
1, 2019-10-16 09:55:31.051000, None, 121874
1, 2019-10-16 09:55:38.105000, None, 128942
1, 2019-10-16 09:55:45.158000, None, 136010
1, 2019-10-16 09:55:52.214000, None, 143077
1, 2019-10-16 09:55:59.288000, None, 150147
1, 2019-10-16 09:56:06.344000, None, 157237
1, 2019-10-16 09:56:13.397000, None, 164305
1, 2019-10-16 09:56:20.451000, None, 171373
1, 2019-10-16 09:56:27.508000, None, 178444
1, 2019-10-16 09:56:34.557000, None, 185513
1, 2019-10-16 09:56:41.608000, None, 192580
1, 2019-10-16 09:56:48.656000, None, 199649
1, 2019-10-16 09:56:55.712000, None, 206716
1, 2019-10-16 09:57:02.783000, None, 213784
1, 2019-10-16 09:57:09.826000, None, 220876
1, 2019-10-16 09:57:16.882000, None, 227943
1, 2019-10-16 09:57:23.933000, None, 235011
1, 2019-10-16 09:57:30.994000, None, 242079
1, 2019-10-16 09:57:38.032000, None, 249146
1, 2019-10-16 09:57:45.086000, None, 256215
1, 2019-10-16 09:57:52.133000, None, 263284
1, 2019-10-16 09:57:59.182000, None, 270351
1, 2019-10-16 09:58:06.232000, None, 277420
1, 2019-10-16 09:58:13.290000, None, 284490
1, 2019-10-16 09:58:20.348000, None, 291565
1, 2019-10-16 09:58:27.394000, None, 298650
1, 2019-10-16 09:58:33.459000, None, 304718
1, 2019-10-16 09:58:40.507000, None, 311793
1, 2019-10-16 09:58:47.557000, None, 318860
1, 2019-10-16 09:58:54.609000, None, 325928
1, 2019-10-16 09:59:01.658000, None, 332998
1, 2019-10-16 09:59:08.708000, None, 340067
1, 2019-10-16 09:59:15.755000, None, 347139
1, 2019-10-16 09:59:22.809000, None, 354206
1, 2019-10-16 09:59:29.863000, None, 361285
1, 2019-10-16 09:59:36.907000, None, 368356
1, 2019-10-16 09:59:43.958000, None, 375424
1, 2019-10-16 09:59:51.007000, None, 382492
1, 2019-10-16 09:59:58.062000, None, 389560
1, 2019-10-16 10:00:05.100000, None, 396628
1, 2019-10-16 10:00:12.151000, None, 403695
1, 2019-10-16 10:00:19.196000, None, 410763
1, 2019-10-16 10:00:26.244000, None, 417830
1, 2019-10-16 10:00:33.294000, None, 424898
1, 2019-10-16 10:00:40.338000, None, 431967
1, 2019-10-16 10:00:47.388000, None, 439034
1, 2019-10-16 10:00:54.435000, None, 446103
1, 2019-10-16 10:01:01.490000, None, 453170
1, 2019-10-16 10:01:08.528000, None, 460237
1, 2019-10-16 10:01:15.577000, None, 467305
1, 2019-10-16 10:01:22.644000, None, 474372
1, 2019-10-16 10:01:29.687000, None, 481459
1, 2019-10-16 10:01:36.727000, None, 488526
1, 2019-10-16 10:01:43.777000, None, 495594
1, 2019-10-16 10:01:50.831000, None, 502663
1, 2019-10-16 10:01:57.875000, None, 509731
1, 2019-10-16 10:02:04.922000, None, 516798
1, 2019-10-16 10:02:11.964000, None, 523865
1, 2019-10-16 10:02:19.016000, None, 530932
1, 2019-10-16 10:02:26.059000, None, 538000
1, 2019-10-16 10:02:33.105000, None, 545068
1, 2019-10-16 10:02:40.150000, None, 552135
1, 2019-10-16 10:02:47.201000, None, 559202
1, 2019-10-16 10:02:54.243000, None, 566269
1, 2019-10-16 10:03:01.286000, None, 573337
1, 2019-10-16 10:03:08.347000, None, 580409
1, 2019-10-16 10:03:15.390000, None, 587483
1, 2019-10-16 10:03:22.439000, None, 594550
1, 2019-10-16 10:03:29.486000, None, 601617
1, 2019-10-16 10:03:36.535000, None, 608685
1, 2019-10-16 10:03:43.581000, None, 615752
1, 2019-10-16 10:03:50.644000, None, 622822
1, 2019-10-16 10:03:57.687000, None, 629906
1, 2019-10-16 10:04:04.764000, None, 636975
1, 2019-10-16 10:04:11.814000, None, 644075
1, 2019-10-16 10:04:18.863000, None, 651146
1, 2019-10-16 10:04:25.912000, None, 658213
1, 2019-10-16 10:04:32.960000, None, 665287
1, 2019-10-16 10:04:40.009000, None, 672355
1, 2019-10-16 10:04:47.053000, None, 679426
1, 2019-10-16 10:04:54.100000, None, 686493
1, 2019-10-16 10:05:01.171000, None, 693561
1, 2019-10-16 10:05:08.191000, None, 700630
1, 2019-10-16 10:05:15.238000, None, 707697
1, 2019-10-16 10:05:22.289000, None, 714765
1, 2019-10-16 10:05:29.334000, None, 721835
1, 2019-10-16 10:05:36.380000, None, 728904
1, 2019-10-16 10:05:43.436000, None, 735981
1, 2019-10-16 10:05:50.478000, None, 743048
1, 2019-10-16 10:05:57.527000, None, 750115
1, 2019-10-16 10:06:04.572000, None, 757188
1, 2019-10-16 10:06:11.623000, None, 764256
1, 2019-10-16 10:06:18.673000, None, 771328
1, 2019-10-16 10:06:25.714000, None, 778398
1, 2019-10-16 10:06:32.772000, None, 785465
1, 2019-10-16 10:06:39.818000, None, 792545
1, 2019-10-16 10:06:46.865000, None, 799613
1, 2019-10-16 10:06:53.911000, None, 806680
1, 2019-10-16 10:07:00.947000, None, 813747
1, 2019-10-16 10:07:08, None, 820814
1, 2019-10-16 10:07:15.046000, None, 827883
1, 2019-10-16 10:07:22.091000, None, 834950
1, 2019-10-16 10:07:29.137000, None, 842018
1, 2019-10-16 10:07:36.193000, None, 849087
1, 2019-10-16 10:07:43.232000, None, 856163
1, 2019-10-16 10:07:50.285000, None, 863230
1, 2019-10-16 10:07:57.332000, None, 870298
1, 2019-10-16 10:08:04.382000, None, 877369
1, 2019-10-16 10:08:11.426000, None, 884439
1, 2019-10-16 10:08:18.469000, None, 891506
1, 2019-10-16 10:08:25.515000, None, 898574
1, 2019-10-16 10:08:32.566000, None, 905643
1, 2019-10-16 10:08:39.611000, None, 912714
1, 2019-10-16 10:08:46.657000, None, 919782
1, 2019-10-16 10:08:53.701000, None, 926849
1, 2019-10-16 10:09:00.745000, None, 933917
1, 2019-10-16 10:09:07.789000, None, 940984
1, 2019-10-16 10:09:14.835000, None, 948054
1, 2019-10-16 10:09:21.879000, None, 955121
1, 2019-10-16 10:09:28.926000, None, 962188
1, 2019-10-16 10:09:35.971000, None, 969262
1, 2019-10-16 10:09:43.014000, None, 976330
1, 2019-10-16 10:09:50.066000, None, 983397
1, 2019-10-16 10:09:57.114000, None, 990469
1, 2019-10-16 10:10:04.157000, None, 997539
1, 2019-10-16 10:10:11.200000, None, 1004609
1, 2019-10-16 10:10:18.250000, None, 1011677
1, 2019-10-16 10:10:25.296000, None, 1018745
1, 2019-10-16 10:10:32.366000, None, 1025815
1, 2019-10-16 10:10:39.416000, None, 1032909
1, 2019-10-16 10:10:46.463000, None, 1039981
1, 2019-10-16 10:10:53.539000, None, 1047049
1, 2019-10-16 10:11:00.607000, None, 1054147
1, 2019-10-16 10:11:07.630000, None, 1061217
1, 2019-10-16 10:11:14.679000, None, 1068285
1, 2019-10-16 10:11:21.723000, None, 1075356
1, 2019-10-16 10:11:28.768000, None, 1082423
1, 2019-10-16 10:11:35.814000, None, 1089491
1, 2019-10-16 10:11:42.863000, None, 1096562
1, 2019-10-16 10:11:49.907000, None, 1103631
1, 2019-10-16 10:11:56.958000, None, 1110699
1, 2019-10-16 10:12:04.001000, None, 1117771
1, 2019-10-16 10:12:11.046000, None, 1124839
1, 2019-10-16 10:12:18.090000, None, 1131907
1, 2019-10-16 10:12:25.138000, None, 1138976
1, 2019-10-16 10:12:32.183000, None, 1146043
1, 2019-10-16 10:12:39.231000, None, 1153116
1, 2019-10-16 10:12:46.279000, None, 1160185
1, 2019-10-16 10:12:53.322000, None, 1167253
1, 2019-10-16 10:13:00.366000, None, 1174321
1, 2019-10-16 10:13:07.412000, None, 1181390
1, 2019-10-16 10:13:14.458000, None, 1188457
1, 2019-10-16 10:13:21.507000, None, 1195526
1, 2019-10-16 10:13:28.552000, None, 1202598
1, 2019-10-16 10:13:35.604000, None, 1209668
1, 2019-10-16 10:13:42.648000, None, 1216739
